COUNTRY,STAGE,STAGE2,Presence_Absence,Mar_supraN,Mar_subN,Mar_Nat,Mar_org,marine_mech,marine_not,Focus,Richness,EEZ_Protected,mar_mam,mar_bird,mam_bird,Polity2,GDP,Rents,OHI
Greenland,None,0,0,0,0,0,0,0,0,,0.167829056,0.045187232,3.53E-06,0.000003,0.000007,,2520206900,,89.27
Grenada,None,0,0,0,0,0,0,0,0,,0.470487039,0.000418545,7.61E-05,0.000076,0.000152,,997007925.9,0,56.34
Guadeloupe,None,0,0,0,0,0,0,0,0,,0.470487039,0.999145422,2.20E-05,0.000044,0.000066,,,,72.96
Guam,None,0,0,0,0,0,0,0,0,,0.434924257,9.04E-05,9.87E-06,0.000054,0.000069,,5710000000,0,83.42
Guatemala,Preliminary,2,0,0,0,0,0,1,0,Environment,0.472765584,0.008076974,2.54E-05,0.000034,0.000068,8,63767597194,2.292208286,53.59
Guernsey,None,0,0,0,0,0,0,0,0,,0.280437736,0.017560852,0,0,0,,,,82.39
Guinea,Potential,1,1,0,0,0,2,2,1,Biodiversity,0.200135028,0.005295257,3.63E-05,0.000018,0.000054,4,8794202410,24.53916275,42.26
Guinea-Bissau,None,0,0,0,0,0,0,0,0,,0.475687917,0.100057649,3.76E-05,0.000038,0.000075,6,1047808175,21.44719288,49.93
Guyana,Potential,1,0,0,0,0,0,0,0,,0.369879514,0.000127091,2.92E-05,0.000015,0.000044,7,3197222215,18.47284187,52.93
Haiti,None,0,0,0,0,0,0,0,0,,0.478194633,0.022914138,1.93E-05,0.000029,0.000048,0,8724656126,1.199799783,49.66
